Seccion,Municipio,Nominal_2009,Nominal_2015,Nominal_2021,Proyeccion_Nominal_2027,Morena_2009,Oposicion_2009,Morena_2015,Oposicion_2015,Morena_2021,Oposicion_2021,Participacion_2021_Pct,Votos_Esperados_Totales_2027,Votos_Necesarios_50_Mas_1_2027,Clasificacion,Coordinador_Estatal,Coordinador_Distrital_Federal,Coordinador_Municipal,Coordinadores_De_Brigada_Requeridos,Brigadistas_Requeridos,Coordinadores_Seccionales_Requeridos,Protagonistas_Movilizadores_Requeridos,Votos_Nivel_1_Requeridos
309,Hermosillo,759,819,872,934,47,267,119,388,176,222,47.0%,439,220,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,3,22,220
310,Hermosillo,2757,2977,3170,3399,70,1082,362,1168,817,629,47.0%,1597,799,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,8,80,799
311,Hermosillo,1583,1709,1820,1951,69,734,281,554,451,329,44.2%,861,431,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,5,44,431
312,Hermosillo,1095,1182,1259,1350,40,478,114,401,230,268,40.7%,550,276,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,3,28,276
313,Hermosillo,2812,3036,3233,3466,219,1336,310,1025,847,878,55.0%,1906,954,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,10,96,954
314,Hermosillo,1304,1408,1499,1607,40,677,190,554,330,468,54.8%,881,441,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,5,45,441
315,Hermosillo,2179,2353,2505,2685,124,1226,200,873,646,603,51.4%,1379,690,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,7,69,690
316,Hermosillo,608,656,699,749,28,285,92,207,210,163,54.9%,411,206,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,3,21,206
317,Hermosillo,2393,2584,2751,2949,166,1003,355,753,744,669,52.9%,1560,781,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,8,79,781
318,Hermosillo,692,747,795,852,25,276,60,235,235,215,58.2%,496,249,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,3,25,249
319,Hermosillo,1228,1326,1412,1514,48,492,165,543,266,339,44.1%,668,335,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,4,34,335
320,Hermosillo,2324,2509,2672,2865,125,1102,208,1127,792,789,61.0%,1746,874,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,9,88,874
321,Hermosillo,1628,1758,1872,2007,50,693,227,649,534,445,53.9%,1081,541,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,6,55,541
322,Hermosillo,2219,2396,2551,2735,129,883,393,886,752,556,52.8%,1445,723,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,8,73,723
323,Hermosillo,957,1033,1100,1179,55,355,142,388,249,278,49.4%,581,291,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,3,30,291
324,Hermosillo,2917,3150,3354,3596,89,1066,476,1307,1113,717,56.2%,2022,1012,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,3,11,102,1012
325,Hermosillo,2755,2975,3168,3397,134,1336,233,1041,1190,796,64.6%,2194,1098,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,3,11,110,1098
326,Hermosillo,927,1001,1066,1143,25,468,144,448,251,215,45.0%,514,258,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,3,26,258
327,Hermosillo,741,800,852,913,38,331,120,299,324,207,64.2%,586,294,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,3,30,294
328,Hermosillo,2558,2762,2941,3153,174,1191,450,967,773,819,55.8%,1759,880,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,9,88,880
329,Hermosillo,2448,2643,2815,3018,136,1122,273,994,802,692,54.7%,1651,826,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,9,83,826
330,Hermosillo,792,855,910,975,48,401,163,303,231,226,51.8%,504,253,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,3,26,253
331,Hermosillo,1815,1960,2087,2237,51,726,420,809,701,561,62.3%,1394,698,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,7,70,698
332,Hermosillo,1519,1640,1746,1871,86,813,202,515,495,580,63.5%,1187,594,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,6,60,594
333,Hermosillo,2772,2993,3187,3417,171,1280,658,1207,890,654,49.9%,1705,853,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,9,86,853
334,Hermosillo,1509,1629,1735,1860,102,672,201,681,330,466,47.3%,879,440,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,5,44,440
335,Hermosillo,1092,1179,1255,1345,43,480,174,452,458,296,61.9%,832,417,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,5,42,417
336,Hermosillo,525,567,603,646,42,245,71,214,189,161,59.7%,385,193,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,2,20,193
337,Hermosillo,1326,1432,1524,1633,120,711,258,609,436,422,58.0%,947,474,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,5,48,474
338,Hermosillo,948,1023,1090,1168,47,368,128,502,244,326,53.9%,629,315,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,4,32,315
339,Hermosillo,1078,1164,1239,1328,101,571,179,385,349,271,51.6%,684,343,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,4,35,343
340,Hermosillo,2138,2309,2458,2635,102,1056,167,892,590,811,58.7%,1547,774,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,8,78,774
341,Hermosillo,2885,3115,3317,3556,174,1357,655,1218,1095,722,56.5%,2007,1004,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,3,11,101,1004
342,Hermosillo,994,1073,1143,1225,49,451,177,445,270,319,53.1%,650,326,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,4,33,326
343,Hermosillo,1268,1369,1458,1563,94,673,193,578,310,356,47.1%,735,368,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,4,37,368
344,Hermosillo,2041,2204,2347,2516,95,1163,198,955,715,516,54.1%,1360,681,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,7,69,681
345,Hermosillo,1667,1800,1917,2055,108,700,275,627,574,577,61.9%,1271,636,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,7,64,636
346,Hermosillo,2793,3016,3211,3442,68,1213,281,1438,833,708,49.5%,1702,852,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,9,86,852
347,Hermosillo,1934,2088,2224,2384,173,990,394,750,499,553,48.7%,1161,581,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,6,59,581
348,Hermosillo,1804,1948,2074,2223,122,924,203,801,586,415,49.7%,1105,553,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,6,56,553
349,Hermosillo,2178,2352,2504,2684,122,1104,224,849,501,706,49.7%,1333,667,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,7,67,667
350,Hermosillo,1986,2144,2283,2447,62,976,363,762,738,695,64.7%,1583,792,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,8,80,792
351,Hermosillo,2999,3238,3448,3697,190,1312,469,1474,885,880,52.8%,1950,976,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,10,98,976
352,Hermosillo,1664,1797,1913,2051,53,895,244,618,567,361,50.0%,1024,513,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,6,52,513
353,Hermosillo,899,970,1033,1107,72,420,99,359,219,266,48.3%,534,268,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,3,27,268
354,Hermosillo,1376,1486,1582,1696,53,657,235,482,315,399,46.5%,789,395,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,4,40,395
355,Hermosillo,1151,1243,1323,1418,41,484,94,505,441,375,63.6%,901,451,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,5,46,451
356,Hermosillo,669,722,769,824,47,304,116,337,185,200,51.5%,424,213,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,3,22,213
357,Hermosillo,1253,1353,1440,1543,71,681,168,524,506,344,60.8%,938,470,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,5,47,470
358,Hermosillo,1481,1599,1703,1826,82,629,274,502,331,412,44.9%,820,411,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,5,42,411
359,Hermosillo,881,951,1013,1086,34,383,87,359,223,272,50.3%,546,274,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,3,28,274
360,Hermosillo,1444,1559,1660,1779,96,601,129,575,423,306,45.2%,804,403,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,5,41,403
361,Hermosillo,1033,1115,1187,1272,26,472,195,493,312,291,52.3%,665,333,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,4,34,333
362,Hermosillo,2648,2859,3045,3265,171,1491,320,1111,663,825,50.4%,1644,823,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,9,83,823
363,Hermosillo,1196,1291,1375,1474,58,554,258,505,300,363,49.7%,732,367,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,4,37,367
364,Hermosillo,510,550,586,628,37,211,45,195,190,138,57.7%,362,182,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,2,19,182
365,Hermosillo,1658,1790,1906,2043,56,721,170,705,487,531,55.0%,1124,563,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,6,57,563
366,Hermosillo,782,844,899,963,23,331,119,252,238,314,63.3%,609,305,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,4,31,305
367,Hermosillo,641,692,737,790,45,350,91,261,193,123,44.1%,348,175,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,2,18,175
368,Hermosillo,2452,2648,2819,3022,105,1123,243,1051,910,709,59.2%,1789,895,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,9,90,895
369,Hermosillo,2000,2160,2300,2466,169,1012,203,838,496,668,52.1%,1285,643,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,7,65,643
370,Hermosillo,1008,1088,1159,1242,30,410,196,415,242,271,45.6%,565,283,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,3,29,283
371,Hermosillo,1772,1913,2037,2184,61,806,225,797,674,523,60.5%,1321,661,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,7,67,661
372,Hermosillo,980,1058,1127,1208,58,372,113,537,255,194,41.0%,495,248,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,3,25,248
373,Hermosillo,639,690,734,786,33,291,105,191,180,184,51.1%,401,201,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,3,21,201
374,Hermosillo,1858,2006,2136,2290,62,846,351,802,654,542,57.7%,1320,661,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,7,67,661
375,Hermosillo,1457,1573,1675,1795,50,652,134,662,393,472,53.2%,954,478,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,5,48,478
376,Hermosillo,2159,2331,2482,2661,163,1048,221,811,562,446,41.9%,1113,557,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,6,56,557
377,Hermosillo,1485,1603,1707,1830,67,726,288,653,503,564,64.4%,1179,590,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,6,59,590
378,Hermosillo,593,640,681,729,22,342,79,176,184,200,58.0%,422,212,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,3,22,212
379,Hermosillo,627,677,721,773,40,229,79,257,149,142,41.5%,320,161,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,2,17,161
380,Hermosillo,1043,1126,1199,1285,75,524,182,448,283,197,41.2%,529,265,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,3,27,265
381,Hermosillo,2463,2660,2832,3036,73,1173,271,1102,669,896,57.0%,1729,865,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,9,87,865
382,Hermosillo,732,790,841,901,26,298,96,225,176,167,42.0%,378,190,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,2,19,190
383,Hermosillo,2614,2823,3006,3223,195,1341,377,1388,840,641,50.8%,1636,819,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,9,82,819
384,Hermosillo,2071,2236,2381,2553,107,717,283,978,651,414,46.1%,1176,589,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,6,59,589
385,Hermosillo,766,827,880,943,35,346,85,249,206,225,50.5%,475,238,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,3,24,238
386,Hermosillo,1721,1858,1979,2122,114,850,248,496,445,506,49.5%,1050,526,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,6,53,526
387,Hermosillo,2303,2487,2648,2839,86,1103,233,1141,612,665,49.7%,1410,706,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,8,71,706
388,Hermosillo,2010,2170,2311,2478,101,715,227,659,533,590,50.1%,1240,621,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,7,63,621
389,Hermosillo,1942,2097,2233,2394,98,1117,319,714,745,603,62.2%,1489,745,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,8,75,745
390,Hermosillo,2823,3048,3246,3480,138,1454,483,880,617,726,42.6%,1483,742,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,8,75,742
391,Hermosillo,2518,2719,2895,3104,104,912,295,1037,566,796,48.5%,1505,753,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,8,76,753
392,Hermosillo,2357,2545,2710,2905,133,810,258,965,904,763,63.4%,1841,921,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,10,93,921
393,Hermosillo,2031,2193,2335,2503,66,1057,234,824,849,526,60.7%,1518,760,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,8,76,760
394,Hermosillo,1477,1595,1698,1820,61,542,168,607,464,547,61.4%,1116,559,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,6,56,559
395,Hermosillo,2018,2179,2320,2487,128,866,388,927,653,716,60.8%,1512,757,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,8,76,757
396,Hermosillo,706,762,811,869,47,269,63,253,195,219,52.5%,456,229,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,3,23,229
397,Hermosillo,994,1073,1143,1225,41,446,79,426,357,307,59.8%,733,367,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,4,37,367
398,Hermosillo,2160,2332,2484,2663,82,956,408,1026,683,835,63.0%,1676,839,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,9,84,839
399,Hermosillo,644,695,740,793,26,285,147,262,181,165,48.1%,381,191,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,2,20,191
400,Hermosillo,1760,1900,2023,2168,70,785,228,904,344,452,40.5%,878,440,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,5,44,440
401,Hermosillo,2538,2741,2918,3128,186,1345,355,1263,618,865,52.4%,1637,819,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,9,82,819
402,Hermosillo,2505,2705,2880,3088,77,959,296,1083,746,883,58.3%,1800,901,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,10,91,901
403,Hermosillo,1522,1643,1750,1876,38,678,268,687,331,474,47.4%,888,445,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,5,45,445
404,Hermosillo,858,926,986,1057,61,467,109,457,346,262,63.5%,671,336,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,4,34,336
405,Hermosillo,678,732,779,835,61,338,91,251,221,183,53.4%,445,223,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,3,23,223
406,Hermosillo,2224,2401,2557,2741,99,1226,165,780,863,545,56.7%,1555,778,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,8,78,778
407,Hermosillo,924,997,1062,1138,45,501,80,427,268,225,47.8%,544,273,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,3,28,273
408,Hermosillo,2303,2487,2648,2839,95,1079,282,1125,535,718,48.8%,1384,693,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,7,70,693
409,Hermosillo,2616,2825,3008,3225,174,1346,201,1098,549,700,42.8%,1379,690,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,7,69,690
410,Hermosillo,1102,1190,1267,1358,47,627,228,505,378,409,64.0%,869,435,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,5,44,435
411,Hermosillo,1386,1496,1593,1707,69,579,226,550,523,347,56.2%,960,481,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,5,49,481
412,Hermosillo,1677,1811,1928,2067,40,620,354,644,530,535,56.9%,1176,589,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,6,59,589
413,Hermosillo,2417,2610,2779,2979,66,1163,347,865,797,543,49.7%,1480,741,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,8,75,741
414,Hermosillo,2230,2408,2564,2749,93,1168,193,946,653,758,56.7%,1558,780,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,8,78,780
415,Hermosillo,1889,2040,2172,2329,44,825,154,692,625,632,59.6%,1388,695,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,7,70,695
416,Hermosillo,1538,1661,1768,1895,123,824,230,803,515,387,52.5%,995,498,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,5,50,498
417,Hermosillo,2947,3182,3389,3634,183,1344,597,1140,1028,672,51.7%,1878,940,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,10,94,940
418,Hermosillo,1821,1966,2094,2245,152,851,261,825,453,373,40.6%,912,457,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,5,46,457
419,Hermosillo,1019,1100,1171,1255,55,418,178,352,355,238,52.2%,654,328,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,4,33,328
420,Hermosillo,607,655,698,748,16,272,73,287,189,145,49.3%,368,185,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,2,19,185
421,Hermosillo,1542,1665,1773,1901,41,599,231,733,362,472,48.4%,921,461,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,5,47,461
422,Hermosillo,2080,2246,2392,2565,110,1183,360,786,722,456,50.8%,1301,651,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,7,66,651
423,Hermosillo,1823,1968,2096,2247,145,851,342,645,580,465,51.4%,1154,578,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,6,58,578
424,Hermosillo,2800,3024,3219,3451,146,1401,348,845,872,732,51.4%,1772,887,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,9,89,887
425,Hermosillo,2216,2393,2548,2732,152,916,414,797,676,541,49.2%,1344,673,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,7,68,673
426,Hermosillo,1169,1262,1344,1441,49,595,187,418,500,347,65.0%,936,469,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,5,47,469
427,Hermosillo,1170,1263,1345,1442,63,614,105,489,353,435,60.4%,870,436,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,5,44,436
428,Hermosillo,1544,1667,1775,1903,103,685,291,530,405,320,42.1%,800,401,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,5,41,401
