Seccion,Municipio,Nominal_2009,Nominal_2015,Nominal_2021,Proyeccion_Nominal_2027,Morena_2009,Oposicion_2009,Morena_2015,Oposicion_2015,Morena_2021,Oposicion_2021,Participacion_2021_Pct,Votos_Esperados_Totales_2027,Votos_Necesarios_50_Mas_1_2027,Clasificacion
252,Cajeme,2618,1767,2036,1860,203,1373,357,683,739,495,62.5%,1162,582,Segura (Crecimiento Alto)
253,Navojoa,2538,1256,1766,1678,167,1177,124,398,474,367,49.0%,822,412,Segura (Crecimiento Alto)
254,Cajeme,1548,1446,2962,4417,66,865,231,458,782,1013,62.5%,2758,1380,Competida (Swing)
255,Navojoa,633,2108,3269,7977,36,346,216,1040,796,979,55.9%,4463,2232,Competida (Swing)
256,San Luis Rio Colorado,2705,2541,2948,3094,121,1104,314,685,808,696,52.6%,1626,814,Segura (Crecimiento Alto)
257,San Luis Rio Colorado,2158,2640,2950,3452,108,1042,551,999,555,616,40.9%,1412,707,Competida (Swing)
258,Hermosillo,2678,722,1362,1468,137,1362,60,284,334,475,61.2%,898,450,Competida (Swing)
259,San Luis Rio Colorado,1961,783,925,731,66,1081,128,303,196,280,53.0%,387,194,Competida (Swing)
260,Guaymas,1369,855,2325,3887,39,691,120,235,860,588,64.2%,2494,1248,Segura (Crecimiento Alto)
261,San Luis Rio Colorado,1129,2440,1908,2807,86,563,354,896,572,626,64.7%,1816,909,Competida (Swing)
262,Nogales,730,2844,3378,8586,45,289,383,878,835,685,46.4%,3982,1992,Segura (Crecimiento Alto)
263,Hermosillo,1737,1547,3154,4619,49,682,244,500,920,831,57.2%,2643,1322,Segura (Crecimiento Alto)
264,Nogales,1871,1915,1710,1638,49,736,314,623,349,332,41.1%,672,337,Segura (Crecimiento Alto)
265,Cajeme,2712,2897,3040,3218,104,1384,295,1216,697,526,41.4%,1333,667,Segura (Crecimiento Alto)
266,Guaymas,2921,2397,2325,2081,160,1042,353,1008,551,668,54.0%,1124,563,Competida (Swing)
267,Navojoa,834,2190,617,897,47,346,279,885,180,207,64.5%,578,290,Competida (Swing)
268,San Luis Rio Colorado,1265,1891,2903,4398,90,703,223,756,670,609,45.4%,1996,999,Segura (Crecimiento Alto)
269,Hermosillo,2852,2205,2954,3120,103,1621,330,698,782,858,57.2%,1784,893,Competida (Swing)
270,Hermosillo,2804,2936,2011,1741,67,1129,339,819,457,531,50.6%,881,441,Competida (Swing)
271,Cajeme,2919,2276,985,597,96,1393,250,1029,262,301,58.9%,351,176,Competida (Swing)
272,Nogales,2819,1351,1849,1708,175,1278,150,468,451,453,50.4%,860,431,Competida (Swing)
273,Guaymas,515,2196,860,2001,25,262,397,946,219,250,56.2%,1123,562,Competida (Swing)
274,Nogales,942,2606,980,1539,50,323,312,743,334,223,58.6%,901,451,Favorable (Estable)
275,Navojoa,1063,2844,2955,5488,75,580,322,855,575,709,44.8%,2457,1229,Competida (Swing)
276,Hermosillo,1928,2732,599,490,98,967,279,1115,126,133,44.6%,218,110,Competida (Swing)
277,Hermosillo,1619,2586,1577,1740,89,829,426,826,434,401,54.5%,948,475,Favorable (Estable)
278,San Luis Rio Colorado,2440,768,1527,1758,123,1386,93,349,447,343,53.3%,937,469,Segura (Crecimiento Alto)
279,Hermosillo,827,3020,1044,2086,49,455,472,919,246,239,47.8%,997,499,Favorable (Estable)
280,Nogales,2445,1594,1294,947,94,1135,112,613,402,265,53.1%,502,252,Segura (Crecimiento Alto)
281,Cajeme,821,555,3084,9610,22,400,74,171,780,514,43.2%,4153,2077,Segura (Crecimiento Alto)
282,San Luis Rio Colorado,638,1175,2475,4885,21,297,249,468,438,530,40.3%,1967,984,Competida (Swing)
283,Hermosillo,500,2839,2099,6735,46,264,321,1328,660,494,56.6%,3815,1908,Segura (Crecimiento Alto)
284,Navojoa,1127,2169,763,868,44,602,266,1044,261,220,64.9%,563,282,Favorable (Estable)
285,Nogales,1198,2108,1231,1442,37,452,210,839,306,329,53.1%,766,384,Competida (Swing)
286,Cajeme,1791,2949,1298,1354,70,824,309,1402,318,355,53.4%,722,362,Competida (Swing)
287,San Luis Rio Colorado,2430,1338,1284,969,103,869,197,525,418,341,60.9%,590,296,Segura (Crecimiento Alto)
288,Nogales,1081,2538,1845,2836,25,444,469,928,412,579,55.3%,1569,785,Competida (Swing)
289,Nogales,1398,902,3171,6596,86,489,119,267,875,1057,62.8%,4141,2071,Competida (Swing)
290,Navojoa,953,693,3375,9445,55,439,117,276,682,673,41.4%,3906,1954,Segura (Crecimiento Alto)
291,Navojoa,1442,1148,1818,2163,75,610,196,418,448,433,49.9%,1080,541,Segura (Crecimiento Alto)
292,Nogales,2821,2282,3336,3787,108,1395,412,745,891,801,52.3%,1979,990,Segura (Crecimiento Alto)
293,Hermosillo,2997,758,1193,1089,111,1258,89,310,269,385,56.5%,615,308,Competida (Swing)
294,Nogales,1486,733,2441,4666,83,511,120,302,580,410,41.8%,1949,975,Segura (Crecimiento Alto)
295,Nogales,1840,906,2778,4942,126,974,168,349,769,651,52.7%,2602,1302,Segura (Crecimiento Alto)
296,San Luis Rio Colorado,2479,2349,2576,2632,148,1041,286,732,532,581,44.5%,1171,586,Competida (Swing)
297,Guaymas,1235,1197,3057,5385,41,484,171,416,725,672,47.1%,2536,1269,Segura (Crecimiento Alto)
298,Nogales,2234,2225,723,477,131,1251,190,1029,190,152,48.7%,232,117,Favorable (Estable)
299,Navojoa,1598,2600,1576,1759,68,902,236,1201,470,463,61.0%,1072,537,Segura (Crecimiento Alto)
300,San Luis Rio Colorado,1596,1487,2129,2515,77,553,175,532,637,550,57.4%,1444,723,Segura (Crecimiento Alto)
301,San Luis Rio Colorado,1173,576,2035,4094,50,671,38,189,341,456,40.3%,1651,826,Competida (Swing)
302,San Luis Rio Colorado,2660,1591,1891,1689,129,1464,269,536,492,561,57.4%,969,485,Competida (Swing)
303,Cajeme,1418,3150,3226,5235,66,802,607,1254,785,665,46.3%,2424,1213,Segura (Crecimiento Alto)
304,Navojoa,2384,3086,746,573,158,1057,483,1353,167,148,43.4%,248,125,Favorable (Estable)
305,San Luis Rio Colorado,2310,1085,734,420,110,1046,212,393,216,137,49.5%,207,104,Favorable (Estable)
306,Nogales,536,2649,772,2020,38,282,317,1190,148,165,41.7%,842,422,Competida (Swing)
307,Guaymas,1137,2166,2808,4494,46,633,287,828,631,625,46.1%,2070,1036,Segura (Crecimiento Alto)
308,Navojoa,1583,3128,3063,4525,107,693,403,927,607,820,48.0%,2173,1087,Competida (Swing)
309,San Luis Rio Colorado,2394,1347,750,419,121,1011,201,366,192,243,59.7%,250,126,Competida (Swing)
310,Navojoa,1849,1331,1889,2020,91,746,152,492,367,434,43.7%,882,442,Competida (Swing)
311,Navojoa,714,2535,1144,2288,31,314,446,881,238,327,50.9%,1164,583,Competida (Swing)
312,Hermosillo,2369,2295,1254,950,174,972,374,711,299,218,42.4%,403,202,Favorable (Estable)
313,Navojoa,565,1358,724,1063,16,219,235,487,158,154,44.3%,471,236,Favorable (Estable)
314,Hermosillo,1672,1948,2178,2486,135,833,177,746,599,596,56.5%,1405,703,Segura (Crecimiento Alto)
315,Nogales,768,2660,1880,3920,47,413,483,912,679,488,64.0%,2508,1255,Segura (Crecimiento Alto)
316,Cajeme,641,1883,1547,2907,37,348,214,539,428,474,60.1%,1745,873,Competida (Swing)
317,Nogales,1688,2089,2277,2649,96,817,294,535,418,575,44.9%,1190,596,Competida (Swing)
318,Hermosillo,2693,883,1206,1021,67,1007,91,343,322,415,62.9%,642,322,Competida (Swing)
319,Guaymas,2887,1973,1291,863,190,1487,286,569,280,391,53.5%,461,231,Competida (Swing)
320,Navojoa,1075,2898,1803,2991,40,574,329,1353,483,559,59.6%,1781,891,Competida (Swing)
321,Hermosillo,934,2206,2103,3485,33,332,255,859,544,632,57.6%,2008,1005,Competida (Swing)
322,Guaymas,727,1826,1185,1872,24,330,176,948,244,349,51.6%,965,483,Competida (Swing)
323,Navojoa,678,2893,2106,5259,24,344,580,1176,435,434,42.5%,2234,1118,Favorable (Estable)
324,Cajeme,2673,2798,3360,3776,175,1160,298,867,745,839,48.6%,1834,918,Competida (Swing)
325,Navojoa,1143,2896,1557,2391,32,574,451,1195,344,419,50.5%,1207,604,Competida (Swing)
326,Cajeme,2478,1115,799,466,123,925,97,397,142,187,42.4%,197,99,Competida (Swing)
327,Navojoa,539,1931,1304,2776,29,214,140,624,460,324,62.0%,1720,861,Segura (Crecimiento Alto)
328,Cajeme,1480,2233,2482,3251,111,701,311,830,690,535,50.8%,1653,827,Segura (Crecimiento Alto)
329,Cajeme,1059,2766,2406,4188,59,445,523,1139,619,770,59.5%,2490,1246,Competida (Swing)
330,San Luis Rio Colorado,1032,1713,1872,2576,48,541,118,584,408,359,42.2%,1087,544,Segura (Crecimiento Alto)
331,Guaymas,2616,2689,1477,1164,109,1282,454,1097,375,233,42.4%,493,247,Favorable (Estable)
332,Guaymas,1215,3053,822,1143,79,680,398,1349,223,278,62.8%,717,359,Competida (Swing)
333,Nogales,2118,1381,2833,3829,119,960,238,619,719,569,46.8%,1793,897,Segura (Crecimiento Alto)
334,Hermosillo,2810,1591,2419,2523,167,1482,320,661,717,594,55.8%,1409,705,Segura (Crecimiento Alto)
335,Cajeme,2432,2554,2513,2555,83,1405,212,855,602,687,52.8%,1350,676,Competida (Swing)
336,Navojoa,1199,2852,3206,5614,52,686,340,881,881,774,53.2%,2987,1494,Segura (Crecimiento Alto)
337,Nogales,1999,2198,1927,1904,69,1020,174,951,441,470,48.7%,927,464,Competida (Swing)
338,Navojoa,547,2585,793,1995,36,263,276,753,167,197,47.3%,943,472,Competida (Swing)
339,Navojoa,971,3062,3191,6694,28,475,248,1035,1044,736,57.5%,3849,1925,Segura (Crecimiento Alto)
340,Nogales,2271,735,644,386,80,1272,142,309,152,153,48.8%,188,95,Competida (Swing)
341,San Luis Rio Colorado,1499,1168,3278,5876,85,844,174,339,844,767,50.6%,2975,1488,Segura (Crecimiento Alto)
342,Guaymas,599,2284,940,1985,20,313,359,982,246,317,61.7%,1224,613,Competida (Swing)
343,Navojoa,2514,2951,1937,1772,159,1328,401,960,565,486,55.9%,990,496,Segura (Crecimiento Alto)
344,Navojoa,656,2478,1440,3138,15,254,233,1237,332,314,46.2%,1449,725,Segura (Crecimiento Alto)
345,Navojoa,708,686,1450,2234,33,319,103,211,435,336,54.8%,1223,612,Segura (Crecimiento Alto)
346,Guaymas,2860,2751,1380,1009,137,1101,551,987,323,446,57.4%,579,290,Competida (Swing)
347,Cajeme,582,610,1734,3373,45,317,54,257,466,438,53.7%,1810,906,Segura (Crecimiento Alto)
348,Navojoa,2603,1737,3026,3645,122,1483,148,663,882,613,50.9%,1856,929,Segura (Crecimiento Alto)
349,Nogales,2545,1979,1114,746,130,1457,269,773,340,359,64.6%,482,242,Competida (Swing)
350,Navojoa,2857,2940,1435,1088,254,1503,213,1169,421,260,48.9%,532,267,Segura (Crecimiento Alto)
351,Cajeme,1439,1013,3437,7040,69,575,125,270,637,908,46.3%,3260,1631,Competida (Swing)
352,Navojoa,2841,989,1120,829,87,1573,217,398,364,234,55.0%,455,228,Segura (Crecimiento Alto)
353,Hermosillo,1920,2247,2527,2899,141,888,409,926,688,858,63.0%,1827,914,Competida (Swing)
354,Guaymas,2768,1572,1987,1820,121,1547,229,478,469,346,42.3%,769,385,Segura (Crecimiento Alto)
355,Navojoa,2928,2020,1360,926,195,1578,128,665,389,452,63.7%,590,296,Competida (Swing)
356,Nogales,1708,779,1831,2569,76,646,82,245,407,321,41.0%,1052,527,Segura (Crecimiento Alto)
357,Hermosillo,1851,2544,1345,1279,61,858,425,833,420,285,54.0%,690,346,Favorable (Estable)
358,Cajeme,713,2090,896,1505,26,298,317,622,265,253,59.6%,896,449,Favorable (Estable)
359,Navojoa,1496,2552,2562,3471,105,621,240,1298,635,901,61.8%,2144,1073,Competida (Swing)
360,Guaymas,1713,1778,2516,3085,69,826,257,465,592,609,49.2%,1517,759,Competida (Swing)
361,Hermosillo,2268,835,2034,2851,73,1052,133,253,498,379,44.4%,1267,634,Segura (Crecimiento Alto)
362,Hermosillo,1695,965,2344,3514,116,921,132,262,614,736,59.3%,2085,1043,Competida (Swing)
363,Hermosillo,2964,866,1668,1850,137,1236,159,351,615,416,63.7%,1177,589,Segura (Crecimiento Alto)
364,San Luis Rio Colorado,807,1529,2105,3443,54,344,185,665,736,544,62.7%,2157,1079,Segura (Crecimiento Alto)
365,Navojoa,893,2748,1144,1998,55,388,479,991,312,202,46.2%,923,462,Favorable (Estable)
366,Nogales,1349,2940,677,815,85,710,296,1269,149,183,50.5%,411,206,Competida (Swing)
367,San Luis Rio Colorado,583,1769,3435,8546,21,342,220,545,569,804,41.2%,3520,1761,Competida (Swing)
368,Nogales,2023,1931,2007,2000,50,797,197,754,377,412,40.5%,810,406,Competida (Swing)
369,Nogales,2075,934,2694,4491,76,1155,107,292,892,620,57.8%,2597,1299,Segura (Crecimiento Alto)
370,Guaymas,2363,610,609,382,154,1318,56,277,140,104,41.2%,157,79,Segura (Crecimiento Alto)
371,San Luis Rio Colorado,2155,2365,1831,1713,192,1125,223,863,655,488,64.3%,1102,552,Segura (Crecimiento Alto)
372,San Luis Rio Colorado,2547,3081,877,655,141,995,289,1081,306,230,62.9%,412,207,Favorable (Estable)
373,San Luis Rio Colorado,1994,1946,1329,1102,127,745,356,751,249,309,43.3%,476,239,Competida (Swing)
374,Guaymas,2512,1448,956,591,181,1299,145,704,281,316,64.3%,380,191,Competida (Swing)
375,Hermosillo,1133,591,2515,6007,51,448,84,207,638,731,56.1%,3370,1686,Competida (Swing)
376,Cajeme,2329,2964,1846,1749,133,879,376,1161,501,312,45.4%,793,397,Segura (Crecimiento Alto)
377,Guaymas,2913,1529,1963,1775,176,1209,199,474,419,460,46.2%,819,410,Competida (Swing)
378,San Luis Rio Colorado,2387,974,2319,3233,201,1178,108,413,689,661,60.0%,1939,970,Segura (Crecimiento Alto)
379,Hermosillo,2363,2829,1235,1008,106,983,341,939,305,193,41.5%,418,210,Favorable (Estable)
380,Nogales,2652,3213,3175,3492,168,1168,398,1208,840,984,59.2%,2067,1034,Competida (Swing)
381,Nogales,2795,2978,993,694,174,1335,353,884,237,202,45.5%,315,158,Favorable (Estable)
382,Cajeme,1450,1260,1561,1645,47,521,225,469,465,485,62.7%,1031,516,Competida (Swing)
383,Guaymas,1675,2746,2365,2957,121,861,321,1400,725,623,58.7%,1736,869,Segura (Crecimiento Alto)
384,Guaymas,1958,1693,1472,1276,113,720,231,729,502,360,60.3%,769,385,Segura (Crecimiento Alto)
385,Guaymas,1415,2106,2336,3033,94,790,215,661,683,715,61.7%,1870,936,Competida (Swing)
386,Navojoa,2223,3146,1719,1686,107,1159,426,1329,485,516,60.0%,1011,506,Competida (Swing)
387,Cajeme,1452,1739,1500,1545,96,800,267,636,346,477,56.5%,873,437,Competida (Swing)
388,San Luis Rio Colorado,1061,3085,2833,5419,48,588,339,1451,646,579,44.5%,2413,1207,Segura (Crecimiento Alto)
389,Navojoa,1967,2461,2493,2822,60,718,275,688,461,513,40.3%,1136,569,Competida (Swing)
390,Nogales,2213,2860,1605,1487,148,824,385,745,386,353,47.4%,705,353,Favorable (Estable)
391,San Luis Rio Colorado,1690,1087,1476,1476,44,812,197,410,314,277,41.3%,609,305,Segura (Crecimiento Alto)
392,Cajeme,2558,2668,2623,2657,77,1066,312,1128,791,621,55.5%,1473,737,Segura (Crecimiento Alto)
393,San Luis Rio Colorado,1685,3094,2779,3799,131,763,323,1474,600,636,45.8%,1741,871,Competida (Swing)
394,Nogales,2386,2522,1476,1211,83,1068,304,978,408,423,58.0%,702,352,Competida (Swing)
395,San Luis Rio Colorado,1015,3161,894,1518,35,486,393,1150,243,170,47.5%,721,361,Favorable (Estable)
396,Cajeme,2324,2655,2377,2421,115,1039,258,889,527,511,45.0%,1089,545,Segura (Crecimiento Alto)
397,Guaymas,829,1352,1086,1321,46,402,158,524,181,251,41.0%,541,271,Competida (Swing)
398,San Luis Rio Colorado,1408,543,657,524,75,547,91,221,220,170,61.2%,320,161,Segura (Crecimiento Alto)
399,Guaymas,1931,636,1223,1377,176,974,86,182,264,232,41.8%,575,288,Segura (Crecimiento Alto)
400,Guaymas,1495,2639,2365,3147,109,821,450,893,769,542,57.1%,1797,899,Segura (Crecimiento Alto)
401,San Luis Rio Colorado,1674,3012,625,627,99,777,613,1261,136,155,48.0%,300,151,Competida (Swing)
402,Nogales,2861,1872,2673,2782,209,1471,241,893,934,711,63.4%,1764,883,Segura (Crecimiento Alto)
403,Navojoa,2897,2034,2044,1744,227,1484,213,1015,512,557,53.9%,940,471,Competida (Swing)
404,Navojoa,1338,1950,2627,3683,58,756,228,674,510,698,47.4%,1745,873,Competida (Swing)
405,Guaymas,1319,541,908,948,80,679,49,178,184,197,43.2%,409,205,Competida (Swing)
406,Cajeme,1055,847,2434,4474,76,428,89,267,399,561,40.6%,1817,909,Competida (Swing)
407,Nogales,2739,1027,1960,2237,177,984,132,331,536,429,50.7%,1134,568,Segura (Crecimiento Alto)
408,San Luis Rio Colorado,1387,1479,3207,5186,57,643,186,405,1014,973,63.9%,3311,1656,Segura (Crecimiento Alto)
409,Nogales,1041,864,1079,1121,52,368,64,323,329,239,54.2%,607,304,Segura (Crecimiento Alto)
410,Nogales,2946,1704,967,554,122,1473,291,695,233,153,41.1%,227,114,Favorable (Estable)
411,Nogales,1262,2723,3139,5195,67,550,343,1316,1143,745,62.0%,3220,1611,Segura (Crecimiento Alto)
412,San Luis Rio Colorado,1609,878,2670,4788,50,667,133,330,581,723,50.3%,2410,1206,Competida (Swing)
413,San Luis Rio Colorado,772,1998,2762,5483,33,382,157,853,973,656,60.8%,3333,1667,Segura (Crecimiento Alto)
414,Hermosillo,2952,1130,955,586,233,1391,134,471,239,319,60.2%,352,177,Competida (Swing)
415,Navojoa,837,1148,2074,3295,41,480,184,399,473,441,45.4%,1496,749,Segura (Crecimiento Alto)
416,Navojoa,1099,2704,681,923,30,451,335,1125,199,150,52.7%,486,244,Favorable (Estable)
417,Navojoa,1871,3046,2663,3331,91,1046,445,859,851,810,64.3%,2141,1071,Segura (Crecimiento Alto)
418,Cajeme,1512,1791,2087,2452,59,876,308,771,569,731,64.2%,1574,788,Competida (Swing)
419,Cajeme,1698,1688,686,480,91,621,374,679,189,219,61.2%,293,147,Competida (Swing)
420,Cajeme,2602,1197,2796,3908,179,1136,104,386,752,893,60.6%,2369,1185,Competida (Swing)
421,San Luis Rio Colorado,2757,834,2980,5774,201,1324,85,347,732,479,41.9%,2418,1210,Segura (Crecimiento Alto)
422,Nogales,1270,1918,1568,1824,93,610,184,836,361,469,54.5%,994,498,Competida (Swing)
423,Navojoa,2635,2019,2103,1900,212,1166,297,528,534,615,56.3%,1069,535,Competida (Swing)
424,San Luis Rio Colorado,1207,1922,2662,3962,35,458,216,974,744,505,48.3%,1915,958,Segura (Crecimiento Alto)
425,Navojoa,2436,576,3006,8199,185,1155,64,224,687,513,41.2%,3373,1687,Segura (Crecimiento Alto)
426,San Luis Rio Colorado,2260,2819,1780,1672,110,782,319,1264,463,308,44.6%,745,373,Segura (Crecimiento Alto)
427,San Luis Rio Colorado,2084,741,1384,1538,107,1103,103,266,372,444,60.8%,934,468,Competida (Swing)
428,Hermosillo,2712,599,622,391,206,1318,48,236,168,140,51.0%,199,100,Segura (Crecimiento Alto)
429,Guaymas,1418,1382,949,788,116,760,109,486,327,259,63.6%,501,251,Segura (Crecimiento Alto)
430,San Luis Rio Colorado,1022,867,959,937,38,400,88,274,342,241,62.7%,587,294,Segura (Crecimiento Alto)
431,Guaymas,2062,2896,1026,902,135,838,469,1175,325,318,64.5%,581,291,Favorable (Estable)
432,Hermosillo,514,1776,1013,2038,24,183,179,636,298,338,64.7%,1317,659,Competida (Swing)
433,Navojoa,834,3196,3044,7282,41,285,599,1153,699,499,40.6%,2954,1478,Segura (Crecimiento Alto)
434,Guaymas,1826,791,599,356,44,751,108,231,139,134,46.9%,167,84,Segura (Crecimiento Alto)
435,Cajeme,2600,2297,2160,1969,163,1000,372,817,532,680,57.8%,1138,570,Competida (Swing)
436,Navojoa,1842,1186,2333,3045,155,968,118,540,651,516,51.6%,1570,786,Segura (Crecimiento Alto)
437,Nogales,1253,3066,3061,5273,67,611,323,1216,666,879,52.0%,2742,1372,Competida (Swing)
438,Guaymas,1206,731,3241,8166,78,440,110,218,974,1029,63.7%,5200,2601,Competida (Swing)
439,Nogales,656,578,668,680,33,329,110,225,200,177,58.1%,394,198,Segura (Crecimiento Alto)
440,Cajeme,2174,1899,1864,1728,73,822,191,972,382,360,41.0%,708,355,Segura (Crecimiento Alto)
441,Nogales,2969,2021,855,471,112,1370,193,842,254,213,56.3%,264,133,Segura (Crecimiento Alto)
442,Hermosillo,2699,888,1532,1573,59,1053,126,428,270,334,40.6%,638,320,Competida (Swing)
443,Hermosillo,1859,2411,3369,4538,87,941,364,742,1017,757,54.3%,2462,1232,Segura (Crecimiento Alto)
444,Cajeme,638,2184,2563,5890,39,289,229,978,620,406,41.2%,2429,1215,Segura (Crecimiento Alto)
445,Guaymas,699,972,928,1088,29,375,111,394,270,219,54.3%,590,296,Segura (Crecimiento Alto)
446,Nogales,1316,783,2787,5789,68,627,68,297,595,675,47.0%,2718,1360,Competida (Swing)
447,Nogales,2292,2246,1791,1591,161,1275,225,1113,356,446,46.1%,733,367,Competida (Swing)
448,Guaymas,2324,3067,3369,4073,195,1099,407,891,852,847,52.0%,2116,1059,Segura (Crecimiento Alto)
449,Guaymas,1980,2451,2380,2628,120,915,400,941,568,497,46.1%,1211,606,Segura (Crecimiento Alto)
450,Guaymas,2679,2332,2198,1992,211,1192,262,811,407,527,43.8%,871,436,Competida (Swing)
451,Cajeme,780,1853,654,892,26,326,210,914,213,156,58.1%,518,260,Favorable (Estable)
452,Nogales,1802,1955,2648,3229,81,719,239,960,688,689,53.6%,1730,866,Competida (Swing)
453,Navojoa,1904,1739,2204,2403,92,948,144,750,597,370,45.2%,1085,543,Segura (Crecimiento Alto)
454,Nogales,2239,1332,1429,1191,118,936,197,526,303,300,43.5%,517,259,Segura (Crecimiento Alto)
455,Navojoa,2013,1386,731,444,103,936,151,481,147,201,49.0%,217,109,Competida (Swing)
456,Nogales,650,1599,2151,4092,26,235,195,593,644,406,50.3%,2058,1030,Segura (Crecimiento Alto)
457,Hermosillo,1261,2988,2302,3614,49,674,484,1105,546,464,45.2%,1634,818,Segura (Crecimiento Alto)
458,Cajeme,2361,987,2539,3796,123,1295,155,344,514,639,46.8%,1776,889,Competida (Swing)
459,Hermosillo,1456,1107,2355,3400,88,747,100,482,790,519,57.3%,1947,974,Segura (Crecimiento Alto)
460,San Luis Rio Colorado,2927,1448,1140,730,66,1188,230,462,260,301,50.7%,370,186,Competida (Swing)
461,San Luis Rio Colorado,1050,1114,2578,4350,79,546,160,496,703,744,57.8%,2515,1258,Competida (Swing)
462,Guaymas,1187,780,1505,1946,37,484,69,280,408,311,49.2%,958,480,Segura (Crecimiento Alto)
463,Guaymas,2764,585,2888,7434,171,1023,116,230,619,771,49.6%,3686,1844,Competida (Swing)
464,Guaymas,2115,1391,1476,1268,110,1158,154,586,464,449,63.8%,808,405,Segura (Crecimiento Alto)
465,Cajeme,1089,795,2850,6148,81,491,59,253,783,588,49.6%,3048,1525,Segura (Crecimiento Alto)
466,Guaymas,763,3196,3436,9043,30,302,515,1016,929,1099,60.8%,5500,2751,Competida (Swing)
467,Navojoa,895,1023,818,794,27,466,142,419,184,216,50.4%,399,200,Competida (Swing)
468,Nogales,2932,2649,625,356,139,1498,313,835,205,146,57.8%,205,103,Favorable (Estable)
469,Navojoa,2543,1591,2816,3372,189,1043,260,470,844,726,57.5%,1937,969,Segura (Crecimiento Alto)
470,Nogales,548,1324,2378,5008,24,286,167,429,618,796,61.3%,3068,1535,Competida (Swing)
471,Guaymas,2223,1985,3406,4442,71,1085,226,792,905,744,49.9%,2215,1108,Segura (Crecimiento Alto)
472,Navojoa,886,1299,2645,4631,43,448,266,532,806,825,63.6%,2943,1472,Competida (Swing)
473,Hermosillo,2517,3044,1825,1650,134,1414,637,1194,665,451,63.0%,1039,520,Favorable (Estable)
474,Cajeme,1905,3065,3146,4145,60,734,448,1084,813,557,44.9%,1860,931,Segura (Crecimiento Alto)
475,Guaymas,1687,2109,2371,2814,155,849,209,959,405,523,40.3%,1134,568,Competida (Swing)
476,Navojoa,1504,2215,968,924,127,704,294,675,273,277,58.5%,540,271,Competida (Swing)
477,Cajeme,1350,1743,2898,4280,44,574,170,594,706,826,54.5%,2331,1166,Competida (Swing)
478,Nogales,1612,777,1940,2889,103,697,88,219,530,505,55.0%,1588,795,Segura (Crecimiento Alto)
479,Cajeme,1465,3155,2907,4469,98,569,475,1188,705,958,59.0%,2634,1318,Competida (Swing)
480,Guaymas,976,569,2946,8485,52,427,101,189,701,924,56.9%,4824,2413,Competida (Swing)
481,San Luis Rio Colorado,2692,939,1357,1217,108,1199,154,280,249,309,42.4%,515,258,Competida (Swing)
482,Nogales,2950,1603,2245,2182,184,1210,221,535,592,459,48.2%,1052,527,Segura (Crecimiento Alto)
483,San Luis Rio Colorado,1449,1729,1814,2033,68,725,128,693,505,511,57.7%,1173,587,Competida (Swing)
484,Cajeme,1923,2648,2949,3672,77,1085,423,925,656,759,49.4%,1815,908,Competida (Swing)
485,San Luis Rio Colorado,1709,1983,2474,2978,65,612,188,665,440,614,43.9%,1307,654,Competida (Swing)
486,Guaymas,961,2676,1386,2288,49,424,267,1131,311,427,54.8%,1254,628,Competida (Swing)
487,Hermosillo,2131,1404,2578,3216,106,1112,120,657,507,682,47.5%,1528,765,Competida (Swing)
488,Nogales,1952,1601,3003,4047,130,808,261,510,523,723,42.8%,1730,866,Competida (Swing)
489,Cajeme,2244,1158,1070,770,107,884,184,495,322,282,58.1%,447,224,Segura (Crecimiento Alto)
490,Cajeme,533,2161,1869,4597,14,232,459,903,509,459,53.3%,2452,1227,Segura (Crecimiento Alto)
491,Guaymas,2199,1504,2916,3824,57,1031,233,569,780,772,54.8%,2096,1049,Segura (Crecimiento Alto)
492,Guaymas,1759,594,2148,4246,92,939,80,270,657,679,64.1%,2721,1361,Competida (Swing)
493,Guaymas,2841,1190,2186,2465,78,1421,145,392,679,602,60.4%,1488,745,Segura (Crecimiento Alto)
494,San Luis Rio Colorado,2151,617,2035,3647,69,947,85,299,518,679,60.6%,2209,1105,Competida (Swing)
495,Cajeme,2323,1599,2095,2093,120,890,135,540,522,664,58.3%,1220,611,Competida (Swing)
496,San Luis Rio Colorado,2204,1121,1822,1944,100,1044,126,352,506,413,52.0%,1010,506,Segura (Crecimiento Alto)
497,Hermosillo,1759,1192,1861,2083,110,633,166,413,401,354,41.8%,870,436,Segura (Crecimiento Alto)
498,Cajeme,2016,551,857,783,75,826,84,258,186,202,46.7%,365,183,Competida (Swing)
499,Nogales,2753,1437,1021,629,181,1350,134,540,229,169,40.2%,252,127,Segura (Crecimiento Alto)
500,Navojoa,2407,2626,2095,1978,113,1290,417,1189,580,664,61.2%,1210,606,Competida (Swing)
501,Navojoa,2746,1871,3242,3913,213,1351,134,664,1085,891,62.8%,2458,1230,Segura (Crecimiento Alto)
502,San Luis Rio Colorado,2919,2943,2236,1976,169,1130,437,1236,581,663,57.3%,1132,567,Competida (Swing)
503,Hermosillo,1058,1122,2367,3751,50,427,185,373,524,428,41.4%,1554,778,Segura (Crecimiento Alto)
504,San Luis Rio Colorado,2927,2310,1306,884,166,1413,397,717,441,329,60.7%,536,269,Segura (Crecimiento Alto)
505,San Luis Rio Colorado,1998,1533,2738,3495,76,989,160,728,605,536,43.0%,1501,751,Segura (Crecimiento Alto)
